target_id,name,used_price,new_price
arc-a580-8gb,Intel Arc A580 8GB,850,1400
arc-a770-16gb,Intel Arc A770 16GB,1300,2000
arc-b570-10gb,Intel Arc B570 10GB,1300,2000
arc-b580-12gb,Intel Arc B580 12GB,1500,2500
gtx-1080-ti,GTX 1080 Ti,949,
rx-6750-gre,RX 6750 GRE,1699,
rx-7700-xt,RX 7700 XT,2300,2699
rx-7650-gre,华硕 ATS RX7650GRE O10G巨齿鲨,1499,2199
rx-7800-xt,RX 7800 XT,2799,
rx-9060-xt-8gb,蓝宝石 9060XT 8G脉动,2299,3099
rx-9060-xt-16gb,RX 9060 XT 16G,2899,3099
rx-9070-gre,RX 9070 GRE,3699,4699
rx-9070-xt,蓝宝石 9070XT 16G 脉动,5099,6999
rtx-3070-ti,RTX 3070 Ti,1600,
rtx-3080,RTX 3080,2000,
rtx-3080-ti,RTX 3080 Ti,2700,
rtx-4060,RTX 4060,1999,
rtx-4060-ti,RTX 4060 Ti,2300,
rtx-4070,RTX 4070,3299,
rtx-4070-super,RTX 4070 SUPER,3700,
rtx-4070-ti,RTX 4070 Ti,4200,
rtx-4070-ti-super,RTX 4070 Ti SUPER,4799,
rtx-4080,RTX 4080,6900,
rtx-4080-super,RTX 4080 SUPER,7300,
rtx-4090,RTX 4090,21000,
rtx-4090-d,RTX 4090 D,15500,
rx-7900-xt,RX 7900 XT,3999,
rx-7900-xtx,RX 7900 XTX,5399,
rtx-5060,微星 RTX5060幻影师 2X,2650,3299
rtx-5060-ti,技嘉 RTX5060TI WF2MAX OC8G风魔MAX,3099,3599
rtx-5070,微星 RTX5070白魔龙 3X,5999,6999
rtx-5070-ti,微星 RTX5070TI万图师 3X,7299,9799
rtx-5080,微星 RTX5080万图师 3X,10500,13499
rtx-5090-d-v2,七彩虹 5090D ADOC 24G V2,19000,22999
rtx-5090,华硕 ROG RTX5090 O32G GAMING夜神,,32999
